order_id,firstname,lastname,email,product,quantity,price,city,state,pincode,order_date,payment_method,status
1001,Sita,Reddy,sita.reddy@email.com,Camera,2,1500,Chennai,WB,500001,1/15/2025,Credit Card,Cancelled
1002,Sita,Nair,,Mouse,1,2000,Bangalore,DL,600001,1/12/2025,,Cancelled
1003,Kiran,Mehta,kiran.mehta@email.com,Keyboard,1,55000,Delhi,TS,500001,1/19/2025,COD,Cancelled
1004,Kiran,Singh,kiran.singh@email.com,Camera,2,2000,Kolkata,MH,380001,1/18/2025,COD,Pending
1005,Rahul,Nair,rahul.nair@email.com,Keyboard,2,,Ahmedabad,GJ,380001,1/18/2025,NetBanking,Cancelled
1006,Pooja,Verma,pooja.verma@email.com,Mobile,1,30000,Mumbai,TN,110001,1/16/2025,NetBanking,Pending
1007,Rahul,Das,rahul.das@email.com,Charger,1,1500,Mumbai,TN,400001,1/18/2025,,Returned
1008,Sneha,Verma,sneha.verma@email.com,Laptop,,,Hyderabad,MH,380001,1/20/2025,Upi,Pending
1009,Anil,Das,anil.das@email.com,Charger,,30000,Kolkata,WB,560001,1/11/2025,,Returned
1010,Sita,Nair,sita.nair@email.com,Headphones,1,2000,Mumbai,TN,,1/14/2025,NetBanking,Delivered
1011,Vikas,Patel,vikas.patel@email.com,Tablet,2,2000,Kolkata,GJ,380001,1/13/2025,,Delivered
1012,Priya,Kumar,priya.kumar@email.com,Headphones,2,30000,Mumbai,MH,500001,1/16/2025,NetBanking,Returned
1013,Sita,Singh,sita.singh@email.com,Mouse,1,30000,Delhi,GJ,600001,1/14/2025,COD,Delivered
1014,Priya,Reddy,priya.reddy@email.com,Camera,1,,,TN,110001,1/18/2025,COD,Returned
1015,Sneha,Verma,sneha.verma@email.com,Mouse,2,30000,Pune,TS,110001,1/10/2025,,Returned
1016,Amit,Sharma,amit.sharma@email.com,Keyboard,,55000,Bangalore,MH,400001,1/17/2025,Credit Card,Delivered
1017,Kiran,Sharma,kiran.sharma@email.com,Keyboard,3,1500,Chennai,WB,560001,1/10/2025,Upi,Pending
1018,Rahul,Verma,rahul.verma@email.com,Charger,3,55000,Bangalore,MH,110001,1/20/2025,Upi,Returned
1019,Pooja,Sharma,pooja.sharma@email.com,Headphones,1,2000,,WB,380001,1/17/2025,NetBanking,Delivered
1020,Anil,Singh,anil.singh@email.com,Laptop,3,1500,Delhi,KA,560001,1/11/2025,NetBanking,Returned
1021,Rahul,Kumar,rahul.kumar@email.com,Mobile,3,2000,Hyd,GJ,380001,1/17/2025,Credit Card,Delivered
1022,Amit,Verma,amit.verma@email.com,Keyboard,2,30000,Mumbai,GJ,110001,1/13/2025,Upi,Pending
1023,Sneha,Verma,,Tablet,,30000,Pune,KA,400001,1/15/2025,Upi,Pending
1024,Pooja,Sharma,pooja.sharma@email.com,Camera,1,,Chennai,KA,560001,1/18/2025,Upi,Delivered
1025,Kiran,Mehta,kiran.mehta@email.com,Tablet,3,30000,Mumbai,GJ,500001,1/15/2025,COD,Delivered
1026,Anil,Reddy,anil.reddy@email.com,Headphones,2,2000,Kolkata,GJ,400001,1/15/2025,NetBanking,Delivered
1027,Sita,Sharma,sita.sharma@email.com,Laptop,2,55000,Pune,DL,,1/15/2025,COD,Cancelled
1028,Sita,Mehta,sita.mehta@email.com,Charger,1,1500,Bangalore,WB,380001,1/14/2025,Upi,Delivered
1029,Sneha,Reddy,sneha.reddy@email.com,Laptop,1,1500,Pune,TS,,1/18/2025,NetBanking,Delivered
1030,Amit,Patel,,Charger,1,,Ahmedabad,TS,560001,1/10/2025,Credit Card,Cancelled
1031,Vikas,Kumar,vikas.kumar@email.com,Tablet,3,55000,Mumbai,DL,500001,1/16/2025,COD,Pending
1032,Priya,Nair,priya.nair@email.com,Mouse,2,,Kolkata,TS,600001,1/16/2025,,Returned
1033,Priya,Patel,priya.patel@email.com,Keyboard,,1500,Delhi,TS,380001,1/19/2025,COD,Delivered
